Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling ,DSP-OA+PTX160micrograms/kilograms,DSP-AZA160micrograms/kilograms,DSP-YTX3.75milligram/kilogram,PSP80micrograms/100grams,ASP20micrograms/grams,CurrentStatus,Comments
Belfast,B1 - AFFNI55,Mussels,2020-01-07,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B1 - AFFNI55,Mussels,2020-01-13,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B1 - AFFNI55,Mussels,2020-01-20,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B1 - AFFNI55,Mussels,2020-01-27,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B1 - AFFNI55,Mussels,2020-02-03,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B1 - AFFNI55,Mussels,2020-02-10,,,,,,OPEN,Samples rescheduled due to adverse weather conditions
Belfast,B1 - AFFNI55,Mussels,2020-02-12,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B1 - AFFNI55,Mussels,2020-02-17,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B1 - AFFNI55,Mussels,2020-02-24,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B1 - AFFNI55,Mussels,2020-03-02,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B1 - AFFNI55,Mussels,2020-03-09,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B1 - AFFNI55,Mussels,2020-03-16,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B1 - AFFNI55,Mussels,2020-03-23,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B1 - AFFNI55,Mussels,2020-03-30,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B1 - AFFNI55,Mussels,2020-04-07,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B1 - AFFNI55,Mussels,2020-04-20,NEG,NEG,NEG,NT,NT,OPEN,
Belfast,B1 - AFFNI55,Mussels,2020-05-04,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B1 - AFFNI55,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,2020-01-07,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B3 - AFFNI50,Mussels,2020-01-13,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B3 - AFFNI50,Mussels,2020-01-20,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B3 - AFFNI50,Mussels,2020-01-27,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B3 - AFFNI50,Mussels,2020-02-03,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B3 - AFFNI50,Mussels,2020-02-10,,,,,,OPEN,Samples rescheduled due to adverse weather conditions
Belfast,B3 - AFFNI50,Mussels,2020-02-12,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B3 - AFFNI50,Mussels,2020-02-17,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B3 - AFFNI50,Mussels,2020-02-24,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B3 - AFFNI50,Mussels,2020-03-02,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B3 - AFFNI50,Mussels,2020-03-09,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B3 - AFFNI50,Mussels,2020-03-16,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B3 - AFFNI50,Mussels,2020-03-23,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B3 - AFFNI50,Mussels,2020-03-30,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B3 - AFFNI50,Mussels,2020-04-07,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B3 - AFFNI50,Mussels,2020-04-20,NEG,NEG,NEG,NT,NT,OPEN,
Belfast,B3 - AFFNI50,Mussels,2020-05-04,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B3 - AFFNI50,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,2020-01-07,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B12 - AFFNI54,Mussels,2020-01-13,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B12 - AFFNI54,Mussels,2020-01-20,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B12 - AFFNI54,Mussels,2020-01-27,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B12 - AFFNI54,Mussels,2020-02-03,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B12 - AFFNI54,Mussels,2020-02-10,,,,,,OPEN,Samples rescheduled due to adverse weather conditions
Belfast,B12 - AFFNI54,Mussels,2020-02-12,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B12 - AFFNI54,Mussels,2020-02-17,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B12 - AFFNI54,Mussels,2020-02-24,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B12 - AFFNI54,Mussels,2020-03-02,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B12 - AFFNI54,Mussels,2020-03-09,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B12 - AFFNI54,Mussels,2020-03-16,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B12 - AFFNI54,Mussels,2020-03-23,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B12 - AFFNI54,Mussels,2020-03-30,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B12 - AFFNI54,Mussels,2020-04-07,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B12 - AFFNI54,Mussels,2020-04-20,NEG,NEG,NEG,NT,NT,OPEN,
Belfast,B12 - AFFNI54,Mussels,2020-05-04,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B12 - AFFNI54,Mussels,,,,,,,OPEN,
Belfast,B20 - AFFNI53,Mussels,2020-01-07,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B20 - AFFNI53,Mussels,2020-01-13,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B20 - AFFNI53,Mussels,2020-01-20,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B20 - AFFNI53,Mussels,2020-01-27,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B20 - AFFNI53,Mussels,2020-02-03,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B20 - AFFNI53,Mussels,2020-02-10,,,,,,OPEN,Samples rescheduled due to adverse weather conditions
Belfast,B20 - AFFNI53,Mussels,2020-02-12,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B20 - AFFNI53,Mussels,2020-02-17,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B20 - AFFNI53,Mussels,2020-02-24,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B20 - AFFNI53,Mussels,2020-03-02,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B20 - AFFNI53,Mussels,2020-03-09,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B20 - AFFNI53,Mussels,2020-03-16,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B20 - AFFNI53,Mussels,2020-03-23,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B20 - AFFNI53,Mussels,2020-03-30,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B20 - AFFNI53,Mussels,2020-04-07,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B20 - AFFNI53,Mussels,2020-04-20,NEG,NEG,NEG,NT,NT,OPEN,
Belfast,B20 - AFFNI53,Mussels,2020-05-04,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,B20 - AFFNI53,Mussels,,,,,,,OPEN,
Belfast,B20 - AFFNI53,Mussels,,,,,,,OPEN,
Belfast,B20 - AFFNI53,Mussels,,,,,,,OPEN,
Belfast,B20 - AFFNI53,Mussels,,,,,,,OPEN,
Belfast,B20 - AFFNI53,Mussels,,,,,,,OPEN,
Belfast,B20 - AFFNI53,Mussels,,,,,,,OPEN,
Belfast,B20 - AFFNI53,Mussels,,,,,,,OPEN,
Belfast,B20 - AFFNI53,Mussels,,,,,,,OPEN,
Belfast,B20 - AFFNI53,Mussels,,,,,,,OPEN,
Belfast,B20 - AFFNI53,Mussels,,,,,,,OPEN,
Belfast,B20 - AFFNI53,Mussels,,,,,,,OPEN,
Belfast,B20 - AFFNI53,Mussels,,,,,,,OPEN,
Belfast,B20 - AFFNI53,Mussels,,,,,,,OPEN,
Belfast,B20 - AFFNI53,Mussels,,,,,,,OPEN,
Belfast,B20 - AFFNI53,Mussels,,,,,,,OPEN,
